(16590.0, 5247.0) ==> (16749.0, 5880.0) ==> (16908.0, 6513.0) ==> (17067.0, 7146.0)
(16590.0, 5247.0) ==> (16749.0, 5880.0) ==> (16908.0, 6513.0) ==> (17067.0, 7146.0)
(17067.0, 7146.0) ==> (16916.0, 7644.0) ==> (16765.0, 8142.0) ==> (16614.0, 8640.0)
(17067.0, 7146.0) ==> (16916.0, 7644.0) ==> (16765.0, 8142.0) ==> (16614.0, 8640.0)
(17067.0, 7146.0) ==> (16916.0, 7644.0) ==> (16765.0, 8142.0) ==> (16614.0, 8640.0)
(16614.0, 8640.0) ==> (16314.0, 9159.0) ==> (16014.0, 9678.0) ==> (15714.0, 10197.0)
(17067.0, 7146.0) ==> (16916.0, 7644.0) ==> (16765.0, 8142.0) ==> (16614.0, 8640.0)
(16614.0, 8640.0) ==> (16314.0, 9159.0) ==> (16014.0, 9678.0) ==> (15714.0, 10197.0)
(16614.0, 8640.0) ==> (16314.0, 9159.0) ==> (16014.0, 9678.0) ==> (15714.0, 10197.0)
(16614.0, 8640.0) ==> (16314.0, 9159.0) ==> (16014.0, 9678.0) ==> (15714.0, 10197.0)
(11364.0, 1896.0) ==> (11388.0, 2424.0) ==> (11412.0, 2952.0) ==> (11436.0, 3480.0)
(11364.0, 1896.0) ==> (11388.0, 2424.0) ==> (11412.0, 2952.0) ==> (11436.0, 3480.0)
(11364.0, 1896.0) ==> (11388.0, 2424.0) ==> (11412.0, 2952.0) ==> (11436.0, 3480.0)
(11364.0, 1896.0) ==> (11388.0, 2424.0) ==> (11412.0, 2952.0) ==> (11436.0, 3480.0)
(19854.0, 7503.0) ==> (19914.0, 7974.0) ==> (19974.0, 8445.0) ==> (20034.0, 8916.0)
(19854.0, 7503.0) ==> (19914.0, 7974.0) ==> (19974.0, 8445.0) ==> (20034.0, 8916.0)
(19854.0, 7503.0) ==> (19914.0, 7974.0) ==> (19974.0, 8445.0) ==> (20034.0, 8916.0)
(19854.0, 7503.0) ==> (19914.0, 7974.0) ==> (19974.0, 8445.0) ==> (20034.0, 8916.0)
(18756.0, 5100.0) ==> (19122.0, 5901.0) ==> (19488.0, 6702.0) ==> (19854.0, 7503.0)
(18756.0, 5100.0) ==> (19122.0, 5901.0) ==> (19488.0, 6702.0) ==> (19854.0, 7503.0)
(18756.0, 5100.0) ==> (19122.0, 5901.0) ==> (19488.0, 6702.0) ==> (19854.0, 7503.0)
(17814.0, 2040.0) ==> (18128.0, 3060.0) ==> (18442.0, 4080.0) ==> (18756.0, 5100.0)
(18756.0, 5100.0) ==> (19122.0, 5901.0) ==> (19488.0, 6702.0) ==> (19854.0, 7503.0)
(17814.0, 2040.0) ==> (18128.0, 3060.0) ==> (18442.0, 4080.0) ==> (18756.0, 5100.0)
(17814.0, 2040.0) ==> (18128.0, 3060.0) ==> (18442.0, 4080.0) ==> (18756.0, 5100.0)
(17814.0, 2040.0) ==> (18128.0, 3060.0) ==> (18442.0, 4080.0) ==> (18756.0, 5100.0)
(17193.0, 504.0) ==> (17400.0, 1016.0) ==> (17607.0, 1528.0) ==> (17814.0, 2040.0)
(17193.0, 504.0) ==> (17400.0, 1016.0) ==> (17607.0, 1528.0) ==> (17814.0, 2040.0)
(17193.0, 504.0) ==> (17400.0, 1016.0) ==> (17607.0, 1528.0) ==> (17814.0, 2040.0)
(17193.0, 504.0) ==> (17400.0, 1016.0) ==> (17607.0, 1528.0) ==> (17814.0, 2040.0)
(18567.0, 576.0) ==> (18778.0, 1892.0) ==> (18989.0, 3208.0) ==> (19200.0, 4524.0)
(18567.0, 576.0) ==> (18778.0, 1892.0) ==> (18989.0, 3208.0) ==> (19200.0, 4524.0)
(18567.0, 576.0) ==> (18778.0, 1892.0) ==> (18989.0, 3208.0) ==> (19200.0, 4524.0)
(18567.0, 576.0) ==> (18778.0, 1892.0) ==> (18989.0, 3208.0) ==> (19200.0, 4524.0)
(20466.0, 2403.0) ==> (20602.0, 3832.0) ==> (20738.0, 5261.0) ==> (20874.0, 6690.0)
